"Lauksaimniecības kultūraugu sējumu kopraža – Kultūraugi un Laika periods"

"Kultūraugi";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Sējumu kopplatība";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;…;…;…
"Graudaugi";923.6;928.0;1028.5;932.3;1059.5;1314.3;1158.7;1535.2;1689.4;1663.1;1435.5;1412.0;2124.5;1948.7;2227.2;3021.5;2703.2;2692.5;2057.3;3163.2;3497.1;2994.6;3081.6
"Ziemāji";469.5;513.6;562.4;490.8;548.4;625.8;609.6;842.8;1001.2;1042.5;931.6;713.7;1406.1;1187.6;676.1;1813.7;1765.0;1874.8;1001.3;2213.1;2430.5;2323.2;2175.5
"Ziemas kvieši";336.0;366.2;410.1;364.0;400.8;498.1;461.7;602.8;741.0;819.9;790.5;618.8;1221.4;1065.1;525.6;1605.7;1582.8;1705.2;897.1;1964.0;2174.5;2098.0;1956.4
"Rudzi";110.7;107.2;101.5;87.6;96.8;87.2;116.8;181.1;194.9;162.2;70.2;64.0;124.2;75.6;114.3;159.6;140.9;129.4;81.6;191.2;178.4;138.4;117.3
"Ziemas mieži";9.3;11.3;9.9;6.2;8.7;8.7;8.9;21.0;30.1;27.1;44.5;9.5;11.7;10.3;9.3;16.7;9.7;18.1;10.4;31.9;52.2;64.3;76.3
"Ziemas tritikāle";13.5;28.9;40.9;33.0;42.1;31.8;22.2;37.9;35.2;33.3;26.4;21.4;48.8;36.6;26.9;31.7;31.6;22.1;12.2;26.0;25.4;22.5;25.0
"Vasarāji";454.1;414.4;466.1;441.5;511.1;688.5;549.1;692.4;688.2;620.6;503.9;698.3;718.4;761.1;1551.1;1207.8;938.2;817.7;1056.0;950.1;1066.6;671.4;906.1
"Vasaras kvieši";91.4;85.5;109.4;104.4;99.1;178.4;136.6;204.5;248.6;216.5;198.8;320.7;318.4;369.9;941.9;644.4;479.5;433.6;534.5;407.0;485.1;309.7;377.9
"Vasaras mieži";251.8;219.8;252.5;240.4;274.8;357.1;298.1;329.5;277.0;238.3;184.0;227.2;236.9;222.3;409.5;368.4;273.5;222.8;295.9;273.5;256.6;151.5;198.8
"Vasaras tritikāle";…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;9.5;5.8;3.9;1.5;3.9;2.3;1.4;…
"Auzas";79.6;82.4;79.7;78.3;107.4;122.0;91.6;130.2;141.5;141.4;100.6;120.9;137.0;134.2;155.1;160.4;146.1;134.0;188.2;237.8;287.9;182.9;288.8
"Griķi";5.9;9.8;8.3;5.3;6.9;9.9;6.9;11.1;7.1;4.8;5.5;9.6;8.0;10.8;8.5;9.8;19.1;17.1;25.3;13.5;16.8;14.3;26.1
"Vārpaugu mistrs";8.8;5.8;6.3;4.8;7.1;7.1;6.5;5.6;5.0;6.3;6.2;7.9;9.1;2.7;12.7;2.6;1.8;0.7;1.0;1.3;0.6;0.6;…
"Vārpaugu un pākšaugu mistrs";16.6;11.1;9.9;8.3;15.8;14.0;9.4;11.5;9.0;13.3;8.8;12.0;9.0;21.2;23.4;12.7;12.4;5.6;9.6;13.1;17.3;11.0;…
"Pākšaugi";3.9;4.0;4.2;5.0;4.5;3.5;1.4;2.6;2.9;5.1;5.4;8.4;11.1;16.9;33.4;104.1;125.4;170.7;104.4;102.4;137.2;87.6;…
"Zirņi";3.0;2.6;3.3;3.8;2.7;2.5;0.9;1.5;1.1;2.6;2.6;2.9;2.4;5.2;8.9;11.8;23.1;29.5;22.5;27.7;30.0;26.5;…
"Pupiņas";0.1;0.2;0.1;0.2;0.1;0.2;0.1;0.1;0.0;0.0;0.2;0.7;1.1;0.7;0.7;5.0;0.9;0.1;0.7;0.2;1.9;0.2;…
"Lauka pupas";0.2;0.2;0.4;0.5;1.2;0.6;0.5;0.9;1.7;2.4;2.6;4.7;7.5;10.8;23.6;86.8;100.3;140.7;80.5;73.5;104.6;60.6;…
"Vīķi";0.5;1.0;0.3;0.4;0.6;0.2;0.0;0.1;0.1;0.1;0.1;0.0;0.0;0.1;0.0;0.3;0.8;0.2;0.2;0.9;0.5;0.3;…
"Lupīna";0.1;0.0;0.1;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.1;0.1;0.2;0.2;0.3;0.2;0.5;0.1;0.2;0.1;…
"Tehniskie kultūraugi (bez cukurbietēm)";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;…;…;…
"Eļļas lini/ linsēklas";0.5;0.3;1.5;0.6;0.4;0.6;0.2;0.1;0.1;0.1;0.8;1.5;0.3;0.2;0.6;0.3;0.2;0.3;0.1;0.1;0.1;0.1;…
