"Lauksaimniecības kultūraugu sējumu platība – Kultūraugi un Laika periods"

"Kultūraugi";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Sējumu kopplatība";881.1;869.8;877.7;851.1;899.2;999.6;1122.7;1126.2;1111.5;1112.0;1102.7;1086.7;1122.1;1146.5;1150.5;1168.8;1233.9;1214.3;1208.7;1262.1;1277.1;1302.4;…
"Graudaugi";420.0;443.7;415.0;428.5;436.7;468.9;511.8;521.9;544.2;540.8;541.5;526.6;574.6;583.9;655.2;672.4;716.0;703.5;690.9;742.3;753.7;776.4;774.8
"Ziemāji";182.4;206.4;178.5;194.6;195.1;187.4;210.8;234.9;250.5;294.5;287.9;243.2;311.0;300.0;210.5;338.9;377.5;375.5;244.5;436.6;439.5;482.9;510.9
"Ziemas kvieši";117.4;131.3;115.9;127.9;129.1;132.0;152.3;159.4;170.4;212.4;225.8;200.9;258.0;253.6;164.0;290.6;329.9;331.2;215.1;379.2;382.2;426.4;448.7
"Rudzi";54.8;55.8;42.3;44.2;45.1;39.3;42.8;57.5;59.0;59.0;34.6;28.4;37.0;29.1;32.3;37.4;36.3;34.0;22.0;43.9;41.6;36.3;34.9
"Ziemas mieži";4.3;6.3;4.8;3.4;3.8;2.8;4.4;5.6;7.3;10.0;15.4;4.0;2.7;3.1;3.5;3.2;2.0;3.3;3.7;7.1;9.4;13.0;20.6
"Ziemas tritikāle";5.9;13.0;15.5;19.1;17.1;13.3;11.3;12.4;13.8;13.1;12.1;9.9;13.3;14.2;10.7;7.7;9.3;7.0;3.7;6.4;6.3;7.1;6.7
"Vasarāji";237.6;237.3;236.5;233.9;241.6;281.5;301.0;287.0;293.7;246.3;253.6;283.4;263.6;283.9;444.7;333.5;338.5;328.0;446.4;305.7;314.2;293.5;263.9
"Vasaras kvieši";40.7;35.5;37.6;39.9;40.8;55.4;62.8;65.2;86.2;73.3;81.8;110.4;96.7;118.2;238.5;157.6;153.0;140.4;204.8;116.3;116.6;113.4;88.7
"Vasaras mieži";130.6;124.0;132.1;129.2;123.5;145.9;149.8;139.7;123.9;94.6;91.1;94.7;85.2;82.3;116.4;96.4;94.1;78.2;116.5;80.5;75.3;63.1;56.2
